alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
0.486265,-0.168337,-0.0732643,1.12102,1.27213,2.01581,1.58032,-0.313827,0.740102,0.332595,0.368646,0.431358,-0.630977,-0.208721,-0.253608
0.951908,-0.519583,0.449571,0.999182,0.645951,1.1313,0.909352,-0.197027,0.642496,0.135829,0.0798876,0.111112,-0.502578,0.071725,-0.113493
1.13938,-0.720969,0.402298,0.782076,0.566182,1.08536,0.4935,-0.151851,0.625835,0.175047,0.195727,0.253443,-0.322322,0.00727589,-0.179044
1.13096,-0.440682,0.23151,0.674316,0.217558,0.608756,0.551111,-0.113364,0.715776,0.452866,0.627012,0.511808,-0.496757,-0.108915,0.105205
0.552314,-0.496232,0.483881,0.759885,0.682959,1.30518,1.53631,-0.322665,0.782444,0.333136,0.514782,0.248076,-0.484093,-0.0849456,-0.0721943
0.988738,-0.391213,0.258033,0.779963,0.654249,1.10962,1.28208,-0.341048,0.665587,0.660335,0.193419,0.371231,-0.59757,-0.3658,-0.398461
0.892856,-0.725478,0.275505,0.675145,0.49438,1.25367,0.920787,-0.264836,0.70203,0.287715,0.806668,0.374741,-0.319228,0.272845,0.261273
0.884489,-0.286456,0.464316,0.911024,0.47945,0.972276,1.28535,-0.210507,0.733185,0.395017,-0.0683477,0.315986,-0.690801,-0.0622774,-0.202265
1.21516,-0.609228,0.286697,0.66892,0.65933,0.730529,1.05213,-0.292099,0.664747,0.484252,0.148062,0.133455,-0.309876,-0.44727,-0.373544
1.11493,-0.395954,0.156744,0.681804,0.548326,0.901985,0.719388,-0.24781,0.744245,0.40093,0.368566,0.120852,-0.621827,-0.118507,-0.375149
1.26888,-0.510153,0.328182,0.82865,0.414878,1.25383,1.15017,-0.329229,0.698635,0.411226,0.154202,0.108828,-0.857983,-0.397016,-0.643156
1.58994,-0.371142,0.568845,0.0990434,0.161468,0.40968,0.568271,-0.258459,0.67879,0.341752,0.278407,-0.364851,-0.79254,-0.27941,-0.732962
1.84535,-0.92934,0.208891,0.319568,0.25687,0.603482,0.931212,-0.279251,0.634045,0.296327,0.496507,-0.0797448,-0.605656,-0.217714,-0.313528
0.884769,-0.490348,0.23043,0.730512,0.53379,1.18767,1.16478,-0.304379,0.674742,0.278082,0.619895,0.374952,-0.230425,0.09891,-0.0796785
0.692319,-0.156883,0.483231,0.780381,0.752098,1.00887,1.10202,-0.272792,0.660926,0.319233,0.30858,0.379749,-0.705434,-0.0631626,-0.10599
1.41194,-0.659185,0.226529,0.659357,0.247806,0.671447,0.793205,-0.170558,0.632633,0.32811,0.144388,0.178479,-0.787583,-0.0452237,-0.368632
0.610199,-0.359243,0.393423,0.788327,0.735265,0.928665,0.831631,-0.276839,0.734012,0.428919,0.437955,0.405392,-0.561455,0.115183,0.184431
0.0921219,-0.232675,0.474936,1.17282,0.817314,1.38842,1.1932,-0.200323,0.737486,0.219876,0.462451,0.66387,-0.255258,0.229675,0.226702
0.821736,-0.480654,0.14655,0.691236,0.601429,1.13747,1.12538,-0.193669,0.689384,0.8162,0.476479,0.670763,-0.400611,0.247124,0.0691725
1.17812,-0.675016,0.47584,0.290809,0.276336,0.599664,0.493569,-0.303857,0.621147,0.341229,0.552639,0.220948,-0.132053,0.226219,-0.0543173
1.28268,-0.686367,0.383872,0.409062,0.265667,0.317595,0.390435,-0.201176,0.699575,0.294401,0.414659,0.419082,-0.160538,0.165886,-0.00463459
1.40539,-0.49764,0.33163,0.419598,0.356275,0.872887,0.818526,-0.284032,0.648682,0.640421,0.113039,-0.11208,-0.7024,-0.12956,-0.439858
1.91128,-0.831955,-0.0182813,0.706695,0.203129,0.378723,0.715555,-0.178187,0.755615,0.711834,0.247199,0.0224766,-0.668967,-0.629352,-0.381403
1.52168,-0.452412,0.0563287,0.575206,0.703616,1.1242,1.14645,-0.260576,0.725179,0.644513,0.228076,-0.152298,-1.13084,-0.197863,-0.744396
0.914979,-0.446377,0.362681,0.743657,0.314103,0.975753,1.18713,-0.276737,0.756303,0.348192,0.734083,0.154547,-0.428141,0.154312,-0.0456611
