alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,logVisitsPP_TB,log_ID_p_bldgspace,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
2.18344,-0.562124,-0.0852092,0.259213,0.808583,0.669378,0.378326,-0.144109,-0.36287,0.199654,0.598919,0.124723,-0.127011,0.095021,-0.256962,0.00666137,0.00558104
2.59243,-0.614994,-0.081331,-0.307251,0.00850843,0.312173,0.0456216,-0.127796,-0.20349,0.102621,0.666142,0.150703,0.0476076,-0.0539707,-0.139366,-0.105569,0.0975481
1.81767,-0.424489,0.0357907,0.418781,0.778846,0.679978,0.757737,-0.114907,-0.21555,0.160194,0.605659,0.321052,0.177195,0.212839,-0.408863,0.0316926,0.148131
2.19475,-0.481619,0.0635889,0.182575,0.688047,0.728616,0.203787,-0.123473,-0.435696,0.250195,0.639372,0.194012,-0.0392315,0.164187,-0.248272,-0.0973484,0.190243
1.98636,-0.242476,-0.0243964,0.483764,0.611944,0.545898,0.750206,-0.149447,-0.263717,0.201797,0.569946,0.239968,-0.143263,0.28046,-0.49789,-0.0769219,-0.0430196
1.9648,-0.212452,-0.0537854,0.153782,0.731258,0.767613,0.295735,-0.151137,-0.283304,0.173918,0.560975,0.0991777,0.0375533,0.123188,-0.177687,0.150689,-0.0210493
2.16444,-0.472019,-0.065618,0.0892481,0.390199,0.784768,0.609446,-0.247002,-0.208593,0.186701,0.560483,0.0763973,0.0111499,-0.0329573,0.0603163,-0.0237561,0.0468789
2.26403,-0.535152,-0.0259834,0.0649996,0.125278,0.505395,-0.0249032,-0.132802,-0.316439,0.0696557,0.506485,0.0924011,0.023141,0.212072,0.0162689,0.072585,0.0421416
2.25106,-0.720864,0.129027,0.158771,0.121084,0.415195,-0.00525998,-0.0715257,-0.379507,0.170925,0.63483,0.349365,0.123162,0.545458,-0.251242,0.152713,0.136501
1.86264,-0.305265,0.0808834,0.159116,0.331422,0.74119,0.403084,-0.181937,-0.326316,0.133847,0.558477,0.160678,0.0368199,0.103723,-0.253032,0.321144,0.09592
1.91102,-0.308769,0.0536623,0.186756,0.402187,0.498834,0.739725,-0.1845,-0.293254,0.0913805,0.580171,0.0614464,0.10738,0.0969206,0.00107047,0.0522137,0.103813
1.5473,-0.150174,0.312149,0.263788,0.696738,0.540989,0.385041,-0.0962444,-0.316715,0.0825955,0.611226,0.315073,-0.0730695,0.165406,-0.443829,0.177547,0.165299
2.10035,-0.462929,-0.0549836,0.196332,0.338582,0.790034,0.648042,-0.231023,-0.329201,0.221925,0.599349,0.13215,-0.130449,0.0534013,-0.0919805,0.0431173,0.0117328
1.91682,-0.642235,0.0627941,0.166649,0.323507,0.586136,0.652425,-0.157803,-0.263122,0.113179,0.618677,0.181436,0.284001,0.293816,0.00705855,0.457794,0.155864
2.03268,-0.340998,0.131248,0.143839,0.381465,0.419672,0.160515,-0.200866,-0.269127,0.133041,0.564264,0.0579213,-0.078227,-0.0830234,-0.0648848,-0.00600429,-0.0302945
2.06421,-0.416493,-0.145259,0.121013,0.431443,0.704737,0.195944,-0.138963,-0.380369,0.151108,0.487088,0.340236,0.0671191,0.083279,-0.232728,0.235291,0.382239
2.10688,-0.667335,-0.00622582,0.142899,0.323933,0.713336,0.113605,-0.114562,-0.343661,0.0847458,0.569633,0.346347,0.140148,0.03942,-0.340893,0.460952,0.339252
1.7762,-0.262561,0.105203,0.407072,0.89394,0.749895,0.429507,-0.209005,-0.339589,0.241041,0.535011,0.154489,-0.170151,0.12167,-0.308725,-0.0139949,-0.0494132
2.51161,-0.428146,0.0373944,-0.106907,-0.151321,0.285253,0.101808,-0.101427,-0.426812,0.225914,0.574927,0.198877,-0.484088,0.249619,-0.406786,0.087183,-0.127613
2.07064,-0.530556,0.14844,0.36987,0.577091,0.665523,0.512681,-0.180251,-0.204272,0.205658,0.513154,0.305191,-0.0850246,-0.0152002,-0.53587,0.0721333,0.0473092
1.9205,-0.341684,0.125417,0.145569,0.529843,0.601478,0.0987611,-0.116318,-0.388887,0.149376,0.557763,0.000409732,-0.000378059,0.000803291,0.000486134,-0.000529517,0.000528446
2.27084,-0.513308,0.109136,0.0643569,0.421923,0.300664,0.18725,-0.178557,-0.209999,0.157433,0.497076,0.0875647,0.0480118,-0.114877,-0.105942,0.0690504,-0.0802895
2.12249,-0.220116,0.238458,-0.119227,0.0877017,0.374583,0.2242,-0.111676,-0.41254,0.0604074,0.505032,0.137284,0.0712117,-0.200144,-0.155909,0.180414,0.0527983
1.88542,-0.318929,0.106328,0.232885,0.717324,0.671543,0.773462,-0.178461,-0.162303,0.16433,0.625827,0.194468,0.0499841,0.159764,-0.512134,-0.0275062,0.0452952
1.9459,-0.329946,0.0220652,0.403473,0.475258,0.59737,0.720626,-0.254564,-0.19551,0.14538,0.548758,0.0829214,0.0298642,0.0753189,-0.106755,0.075617,-0.118161
1.75928,-0.143058,-0.053475,0.227643,0.748371,0.774471,0.777031,-0.193124,-0.253157,0.186523,0.575726,0.514632,0.145927,0.242558,-0.18988,0.152438,0.0808526
2.39642,-0.559226,-0.0367823,-0.159208,-0.142978,-0.0459821,-0.12583,-0.0523069,-0.516413,0.135263,0.563194,0.244226,0.122401,0.298707,-0.287658,0.411629,0.421307
2.50751,-0.183524,-0.270833,-0.127729,0.453566,0.342554,0.284471,-0.0753432,-0.370287,0.141246,0.583591,0.221153,-0.195702,0.175718,-0.420951,-0.0177317,-0.0742059
1.85217,-0.33058,-0.0277537,0.524982,0.740908,1.01379,0.727265,-0.168961,-0.278849,0.162227,0.552117,0.142624,-0.0811211,0.0210143,-0.335349,-0.174423,-0.103798
2.11449,-0.316388,0.0281527,0.0426056,0.535125,0.403465,0.45361,-0.143968,-0.195403,0.128972,0.521332,0.0491731,0.076291,0.0121687,0.0141256,0.0114471,-0.0446279
2.09957,-0.497367,0.188603,0.0747744,0.101458,0.513532,-0.257589,-0.144943,-0.344845,0.139685,0.539164,0.259948,0.0545294,0.221927,-0.266183,0.260904,0.282816
2.46965,-0.408612,0.224567,-0.0941248,0.0245716,-0.0101442,-0.259722,-0.101271,-0.408109,0.0657464,0.626828,0.160753,-0.0950056,-0.128931,-0.430518,0.0140256,0.0147609
2.01062,-0.243832,0.0765433,0.15956,0.240633,0.458735,0.265996,-0.100167,-0.112554,0.259011,0.58865,0.268651,-0.300953,0.425182,-0.447784,0.139683,-0.0367156
1.55807,-0.235739,0.107055,0.540853,0.703579,1.12146,0.711326,-0.188532,-0.124061,0.236291,0.517703,0.22902,-0.0546461,0.518588,-0.567184,0.325061,0.0656767
2.05386,-0.266625,-0.0253101,0.428165,0.488949,0.960717,0.653163,-0.195859,-0.278391,0.155459,0.519118,0.265345,-0.154947,0.136164,-0.754488,-0.0558068,-0.0600758
1.9033,-0.295327,0.106439,0.204066,0.36203,0.627877,0.47901,-0.160038,-0.343929,0.161639,0.538532,0.157212,0.0513593,0.191038,-0.0292015,0.154834,0.197124
1.6635,-0.495097,0.0106433,0.553917,0.9185,0.890845,0.623973,-0.152685,-0.221773,0.23569,0.532584,0.214147,-0.0625669,0.336015,-0.122112,0.242598,0.223868
2.53859,-0.513367,0.0433591,-0.35862,-0.0243388,-0.124453,-0.586182,-0.06979,-0.391869,0.227634,0.589505,0.093878,0.00920954,0.102197,0.0480157,0.00726783,0.107081
1.76205,-0.212586,0.330844,-0.0385048,0.482033,0.583929,0.448581,-0.155917,-0.230091,0.183389,0.519413,0.205491,0.0794248,0.197404,-0.231416,0.193614,-0.0520935
