alpha,public,urban,healthcentre,primary,secondary,tertiary,logVisits,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines,sigma_f,sigma_v,op_adherencesupportvisit,op_coughtriage,op_diagnosticvisit,op_follow-upvisit,op_monitoringvisit,op_screeningvisit,op_screeningvisit_mch,op_treatmentvisit,op_treatmentvisit_dot,op_treatmentvisit_ltbi,op_treatmentvisit_mdr,op_vaccinations,op_visitforcollectingmedicine,op_visitforinjection
1.55944,-0.296776,0.353839,0.562101,0.514607,0.857105,0.492814,-0.225709,0.338279,0.192622,0.239659,0.129083,-0.292375,0.0869047,-0.0680705,0.553874,0.281385,-0.331051,-0.304621,0.192834,0.187594,0.226354,-0.0430288,0.17511,-0.0712445,-0.118266,-0.00929375,0.00989527,-0.188107,-0.309755,0.0549168
1.78414,-0.26092,0.317671,0.324591,0.541517,0.746111,0.625666,-0.25297,0.339297,0.252405,-0.185283,0.00334545,-0.232327,-0.0700475,-0.327385,0.472423,0.137884,-0.00264896,-0.159221,0.238623,0.077256,0.136676,0.0869952,0.12701,-0.025941,0.0346808,0.0976742,0.0783665,-0.0240195,-0.337573,-0.0716604
1.54469,-0.28302,0.350558,0.36561,0.49861,0.825369,0.622981,-0.232394,0.343302,0.105983,0.0755669,0.124456,-0.159519,0.103028,-0.0811986,0.523104,0.119224,-0.0398524,-0.121108,0.193185,-0.0231307,0.110323,0.0969267,0.12121,-0.0678439,0.0413473,0.141923,-0.0451426,-0.105573,-0.0523579,-0.308841
1.634,-0.331768,0.396127,0.343528,0.324922,0.545689,0.377864,-0.204264,0.340981,0.112006,0.0624404,0.0118514,-0.351477,0.0762659,-0.0640206,0.563531,0.102692,-0.146039,-0.199918,0.190521,0.0757076,0.0488598,0.0714014,0.0158184,-0.0259784,-0.0429228,0.0636738,0.00462926,-0.0814969,0.0738535,-0.111203
1.91518,-0.287905,0.293333,0.177232,0.293741,0.523326,0.318016,-0.147353,0.387389,0.0889496,0.0428456,0.00181347,-0.147035,0.00300445,-0.0787905,0.473231,0.200292,-0.169277,-0.250846,0.153247,-0.0651946,0.249738,0.0170608,0.144724,-0.0378189,-0.00973458,-0.0525976,0.0454948,-0.121136,0.0217878,-0.0460295
1.98375,-0.484233,0.265572,0.273237,0.222535,0.491373,-0.0849401,-0.177135,0.35911,0.079249,0.141015,-0.0109837,-0.114861,-0.0214427,-0.0231423,0.475104,0.152637,-0.0796814,-0.131768,0.304115,0.0527697,0.100249,0.0784782,0.211309,-0.0888071,0.0458446,0.0773576,0.27266,-0.0190619,0.000484299,-0.0216242
2.29595,-0.561681,0.199275,0.171847,-0.143139,0.300838,0.222675,-0.147471,0.342907,0.171573,0.0805092,0.227998,-0.195154,0.154672,-0.36132,0.440932,0.167294,-0.158184,-0.281019,0.197903,-0.0739421,0.110933,0.0734797,0.0231546,-6.01139e-05,-0.143344,0.0342864,0.176221,-0.161122,-0.281002,-0.0750801
2.20974,-0.510077,-0.0595827,0.313271,0.207491,0.589744,0.349925,-0.143392,0.332127,0.173008,0.110912,0.184359,-0.191239,-0.00882075,-0.294033,0.532692,0.152291,-0.16289,-0.227826,0.157435,-0.0450665,0.0404533,-0.0434564,0.262605,-0.0904442,0.0102899,-0.0341084,0.168253,-0.0997945,-0.413353,-0.0250018
2.04752,-0.381407,0.266092,0.0863587,0.113551,0.236658,0.38346,-0.253474,0.345431,0.13708,0.0577809,0.095774,0.156592,-0.00597765,-0.194878,0.499347,0.112518,0.0564832,-0.0848243,0.251003,0.176039,0.1131,0.00334719,-0.0425687,0.0675316,0.0357912,0.0594463,-0.0132405,-0.100948,-0.131905,-0.210368
2.06988,-0.464223,0.339376,0.265633,-0.0591909,0.431076,-0.0149619,-0.22297,0.341422,0.0496906,0.045008,0.0523223,-0.031437,0.0778197,-0.0306995,0.485582,0.142206,-0.243484,-0.22304,0.251546,-0.0375036,0.0982117,0.0177792,0.00638699,-0.0662451,0.0593499,-0.00763008,0.2224,-0.0883319,-0.308306,-0.0123949
2.13321,-0.375579,0.270233,0.244885,0.169666,0.310004,0.00429692,-0.0871945,0.348013,0.206129,0.236591,0.158367,-0.590675,0.0433681,-0.221219,0.50699,0.193682,-0.122124,-0.268403,0.102433,0.0633177,0.0252054,-0.0929963,0.315632,-0.0446135,-0.143917,-0.0205475,0.124126,-0.233411,-0.298744,-0.249455
2.32157,-0.364845,0.238536,-0.205531,0.0328204,-0.0240328,-0.0893382,-0.171036,0.363919,0.124204,0.252926,0.0319647,-0.0213209,0.036499,-0.158502,0.530582,0.173393,-0.33447,-0.16194,0.186097,0.110765,0.0606889,-0.0144445,-0.107363,-0.0391809,-0.0819716,0.0394639,-0.0557703,-0.106888,0.0336778,-0.135331
2.14036,-0.371339,0.306436,0.12234,0.179683,0.326531,0.625595,-0.225828,0.365277,0.269034,0.17087,-0.0327112,-0.363852,0.0851721,-0.377317,0.467442,0.136264,0.00592223,-0.220412,0.141667,-0.0382474,0.201541,-0.00346267,0.0892211,-0.065683,-0.1166,-0.00708338,-0.04281,-0.162541,-0.190366,-0.175019
2.23117,-0.589501,0.190878,-0.193548,0.110118,0.463593,0.246727,-0.233289,0.361919,0.239201,0.26937,0.162684,-0.052064,0.054266,-0.157492,0.496395,0.188406,-0.00216728,-0.230829,0.180923,-0.0268476,0.157341,-0.0191211,0.368782,0.039787,-0.0447589,0.149049,0.211497,-0.0783394,-0.461926,-0.164093
1.95891,-0.453654,0.20429,0.231344,0.230452,0.57587,0.577069,-0.234165,0.36141,0.344803,0.278093,0.1393,-0.491227,-0.018967,-0.250536,0.481914,0.112556,-0.0689609,-0.17132,0.160185,0.0965776,0.146141,0.0629342,0.166314,-0.0131563,-0.120669,0.156864,0.244314,-0.173446,-0.121055,-0.0501695
1.74463,-0.456467,0.238841,0.294805,0.466207,0.639025,0.710074,-0.266913,0.34419,0.157034,0.220859,0.00355769,-0.211642,0.0774919,-0.0215592,0.506338,0.252637,-0.193687,-0.191327,0.246443,-0.0214936,0.241558,0.130672,0.381371,0.172213,-0.00688833,0.161777,0.310919,-0.0272089,-0.330357,-0.169615
1.71071,-0.487516,0.354379,0.371778,0.339197,0.654155,0.43833,-0.231428,0.362862,0.142666,0.195876,0.118965,-0.0716625,0.191588,0.0719362,0.439984,0.127489,0.131176,-0.148367,0.277163,-0.0267491,0.172552,0.0965018,-0.036725,-0.028991,0.0757712,0.165389,0.0142758,-0.00573458,-0.0400018,0.020498
1.36748,-0.148794,0.555103,0.0903987,0.361609,0.73188,0.415719,-0.235531,0.353811,0.193741,0.311528,0.276384,-0.164395,-0.00348932,0.00788146,0.55305,0.150787,0.184589,-0.193421,0.258444,0.0973101,0.215012,0.11677,0.103713,0.00491807,0.0420656,0.108954,0.051158,-0.0193321,0.068864,-0.0604906
