alpha,public,urban,primary,secondary,tertiary,n_services,log_ID_p_bldgspace,logVisits,logVisitsPP_TB,sigma,sigma_c,Ethiopia,Georgia,India,Kenya,Philippines
0.801968,-0.299996,0.321762,0.437587,0.390627,0.148419,0.182259,0.119416,-0.334633,-0.285681,0.761699,0.584955,0.423735,0.773438,-0.215449,0.166147,0.311745
1.14431,-0.366493,0.256697,0.396921,0.578384,0.616023,0.227376,0.0237005,-0.403004,-0.411416,0.740408,0.15372,0.266551,0.0587173,-0.333557,0.0238882,0.14096
0.957981,-0.295009,0.277024,0.155447,0.404808,-0.0499467,0.126872,0.143687,-0.268112,-0.334104,0.740807,0.426484,0.343873,0.612499,-0.00814816,0.0960705,0.0416404
1.23104,-0.460755,0.322209,0.115011,0.43878,0.446231,0.195814,0.0785788,-0.312029,-0.355508,0.722799,0.121489,0.0329487,0.22521,-0.240667,-0.171622,-0.0939675
1.39952,-0.368467,0.172969,0.0484806,0.353468,0.225876,0.144624,0.071317,-0.169688,-0.586666,0.718759,0.290406,0.0822945,0.104303,-0.466169,-0.491799,0.309748
1.10883,-0.293371,0.450208,0.170767,0.857102,0.116441,0.303157,0.094103,-0.248982,-0.501177,0.770996,0.166963,-0.120781,0.237705,-0.129111,-0.211911,-0.0170618
0.378492,-0.410232,0.491238,0.25545,0.579576,0.463686,0.128246,-0.0690663,-0.215109,-0.353134,0.70552,0.641927,0.976023,0.654264,-0.212033,0.483755,0.885744
1.28261,-0.326795,0.29982,0.273005,0.261208,0.72664,0.251687,0.0153703,-0.310632,-0.510141,0.761023,0.345844,0.0639088,0.0701067,-0.304066,-0.470567,0.122397
0.979059,-0.359359,0.324385,0.336216,0.457543,0.130914,0.0823441,0.0406948,-0.187306,-0.379402,0.686198,0.533307,0.385005,0.516041,-0.482058,-0.0289177,0.292837
1.18598,-0.426059,0.49285,0.0117413,0.470408,0.327119,0.187924,0.0488905,-0.331094,-0.374553,0.76167,0.101662,0.0157381,0.096225,-0.129854,-0.0947383,0.157333
1.3917,-0.384467,0.247519,0.0820519,0.316212,0.211036,0.247379,0.0735307,-0.301892,-0.4067,0.689374,0.0993469,0.0346126,0.0982429,-0.0538764,-0.0882449,0.0244332
1.81095,-0.264471,0.155503,0.0497036,0.310681,0.106103,0.319134,0.149238,-0.251,-0.520014,0.749316,0.724116,-0.375439,0.0426189,-0.785431,-0.890288,-0.203281
1.29125,-0.25658,0.288136,0.0258067,0.259997,-0.112204,0.136974,0.0584649,-0.163919,-0.456014,0.7364,0.218984,0.179106,0.149778,-0.52027,0.0667966,0.242363
1.1258,-0.364455,0.275863,0.222837,0.5111,0.58084,0.131737,0.0171381,-0.405205,-0.387056,0.703799,0.174529,0.0779696,0.000930572,-0.419554,0.0784501,-0.13053
1.11467,-0.343523,0.283025,0.180258,0.374113,-0.0712627,0.157929,0.0215251,-0.213916,-0.471951,0.689445,0.217584,0.344261,0.270157,-0.331411,-0.0796028,0.465581
1.15353,-0.378114,0.259639,0.0479967,0.357181,-0.14155,0.280468,0.0997389,-0.244678,-0.592301,0.656181,0.539286,0.157411,0.634556,-0.232058,0.120992,0.647031
1.08169,-0.30202,0.373902,0.309296,0.393906,-0.214025,0.190866,0.0913054,-0.231521,-0.533287,0.784301,0.315241,0.148522,0.0367183,-0.557603,0.150258,0.0561998
1.32984,-0.470434,0.0697404,0.318706,0.588139,-0.235904,0.145818,-0.0144856,-0.218737,-0.28093,0.754518,0.288018,0.336332,0.260284,-0.574241,-0.171881,0.0452268
1.16403,-0.488309,0.523516,0.299953,0.455097,-0.0445682,0.306334,0.119301,-0.34806,-0.289045,0.764158,0.0030461,-0.00230936,-0.00177331,0.00444163,-0.0015172,-0.000398633
1.44313,-0.319316,0.237202,0.177285,0.346907,0.210025,0.148758,-0.0650456,-0.240151,-0.513923,0.787639,0.350372,0.303026,-0.157118,-0.646353,-0.339939,-0.104749
1.29591,-0.370453,0.181678,0.208204,0.386077,-0.0576571,0.182048,0.161545,-0.293083,-0.368929,0.693749,0.197399,0.0178509,0.470628,-0.116495,0.106339,0.0362922
1.42072,-0.414795,0.244079,-0.0711202,0.419894,-0.0130604,0.169776,0.00451474,-0.210112,-0.548429,0.674724,0.404927,-0.010049,0.199386,-0.74607,0.0529556,0.00424318
1.3406,-0.436844,0.361889,0.197385,0.323021,0.34484,0.261934,-0.0309881,-0.340146,-0.425289,0.764937,0.0848962,-0.0460981,-0.129233,0.0352762,0.0420112,-0.0306636
1.11381,-0.401178,0.490957,0.250268,0.486772,0.17683,0.264795,-0.0161523,-0.41615,-0.327971,0.753374,0.183594,0.108996,0.047762,-0.127147,-0.100887,0.106168
1.14685,-0.29425,0.260234,0.272991,0.245851,0.199063,0.219378,0.130733,-0.340339,-0.389009,0.675014,0.214231,0.199453,0.309588,-0.140568,-0.148036,-0.0711299
0.841621,-0.343073,0.359727,0.0214879,0.794903,-0.122692,0.270212,-0.0177061,-0.364228,-0.253629,0.699086,0.294188,0.447866,0.664562,0.00353566,0.186333,0.157368
1.26583,-0.271131,0.287604,0.113311,0.176102,0.227962,0.347001,-0.0564109,-0.406083,-0.386674,0.698892,0.0795947,0.125061,-0.0128871,0.0341486,0.00889746,0.047507
1.08776,-0.427596,0.326558,0.242583,0.439508,0.0819269,0.273532,0.0610987,-0.321898,-0.480963,0.685805,0.142223,0.241997,0.250423,-0.291878,0.0824945,0.068446
